Year,Rainfall,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13
01/06/01,2.1958647,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
02/06/01,2.3738291,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
03/06/01,2.965511,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
04/06/01,3.8850243,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
05/06/01,2.2391417,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
06/06/01,1.9465548,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
07/06/01,2.1617904,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
08/06/01,2.9516125,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
09/06/01,2.6730893,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
10/06/01,1.9597028,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
11/06/01,3.6750789,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
12/06/01,4.6918473,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
13/06/01,6.7833176,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
14/06/01,5.9057302,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
15/06/01,4.989948,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
16/06/01,4.2683973,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
17/06/01,6.166189,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
18/06/01,4.493988,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
19/06/01,5.613485,0.54,0.76,0.75,0.78,0.56,0.42,0.14,0.6,0.82,0.29,0.05,-0.13,-0.19
